"Year","std_Weight","ARS","rel_ARS","Age","Centered_Age","Year2","animal","StagCode"
"1988",-1.34211887067313,1,0.740608228980322,6,-2.91425120772947,1988,178,178
"1988",-1.00809835273519,4,2.96243291592129,7,-1.91425120772947,1988,200,200
"1988",0.564757757048532,0,0,9,0.0857487922705307,1988,215,215
"1988",1.05099015657845,0,0,9,0.0857487922705307,1988,215,215
"1988",-0.767096206881229,0,0,7,-1.91425120772947,1988,181,181
"1988",-0.141336249225341,3,2.22182468694097,9,0.0857487922705307,1988,256,256
"1988",-0.306232454283312,3,2.22182468694097,9,0.0857487922705307,1988,256,256
"1988",-0.970045382337193,1,0.740608228980322,7,-1.91425120772947,1988,329,329
"1988",-0.771324314703229,1,0.740608228980322,7,-1.91425120772947,1988,329,329
"1988",-0.479584874985281,2,1.48121645796064,9,0.0857487922705307,1988,217,217
"1988",-0.720587020839238,2,1.48121645796064,9,0.0857487922705307,1988,217,217
"1988",-0.255495160419321,0,0,9,0.0857487922705307,1988,339,339
"1988",-0.682534050441244,0,0,9,0.0857487922705307,1988,339,339
"1988",0.653548021310516,0,0,12,3.08574879227053,1988,124,124
"1988",0.201140484356597,0,0,12,3.08574879227053,1988,124,124
"1988",-1.76492965287305,0,0,5,-3.91425120772947,1988,281,281
"1988",-1.74378911376305,0,0,5,-3.91425120772947,1988,206,206
"1988",-1.5027869679091,1,0.740608228980322,5,-3.91425120772947,1988,246,246
"1988",-2.07780963170099,0,0,6,-2.91425120772947,1988,230,230
"1988",-2.16237178814098,0,0,6,-2.91425120772947,1988,230,230
"1988",-0.0567740927853565,0,0,13,4.08574879227053,1988,253,253
"1988",-0.20475786655533,0,0,13,4.08574879227053,1988,253,253
"1989",-0.441531904587288,1,0.740608228980322,8,-0.914251207729469,1989,146,146
"1989",0.357580473770569,0,0,9,0.0857487922705307,1989,198,198
"1989",0.103894004450615,0,0,9,0.0857487922705307,1989,198,198
"1989",1.00448097053645,8,5.92486583184258,10,1.08574879227053,1989,239,239
"1989",0.930489083651467,8,5.92486583184258,10,1.08574879227053,1989,239,239
"1989",-0.0758005779843531,3,2.22182468694097,8,-0.914251207729469,1989,359,359
